Tag,Main Alias
abk,abkhazia
abs,absaroka
ace,aceh
ach,acholi
adr,adrar
afg,afghanistan
ain,ainu mosir
ait,ait abbas
ajr,ajuran
alk,alaska
ala,alba
alb,albania
ald,algeria
ali,altai
alw,alwar
amz,amazonia
usa,america
nah,anahuac
anl,andalusia
agc,angoche
agj,angola janga
anh,anhalt
ahu,anhui
ank,ankole
atl,antillean confederation
anu,anuak
ayi,anyi
aot,aotearoa
apc,apache
ara,arabia
arb,arabistan
arn,aragon
ark,arakan
arp,arapaho
arg,argentina
arm,armenia
ars,arsiland
ash,ashanti
asm,assam
ass,assyria
asu,asturias
atb,athabaska
aul,aulihan
aws,aussa
ast,australia
aus,austria
awa,awadh
aym,aymara
zai,azal
znd,azande
azb,azerbaijan
bad,baden
bgi,bagirmi
bah,bahamas
bhw,bahawalpur
bhi,bahia
bhn,bahrain
bal,bali
blh,baluchistan
bmm,bamum
bnt,banat
bng,bangala
bnj,banjar
ber,baroda
lzo,barotse
bkr,bashkiria
bss,bassa
bas,bastar
bst,basutoland
btg,batonga
ble,baule
bav,bavaria
bgm,begemder
bei,beiyang
bja,beja
bye,belarus
bel,belgium
bmb,bemba
bgl,bengal
ben,benin
bhv,bhavnagar
bho,bhopal
bhu,bhutan
bih,bihar
bik,bikaner
bla,bilua
bob,bobangi
boh,bohemia
bol,bolivia
brn,borana
brg,borgu
bor,bornu
bos,bosnia-herzegovina
brk,brakna
brz,brazil
bre,bremen
bri,brittany
bru,brunei
bra,brunswick
bug,buganda
buk,bukhara
bul,bulgaria
blg,bulungan
bnd,bundu
bny,bunyoro
bur,burma
brd,burundi
bry,buryatia
btn,buton
byz,byzantium
cal,california
cam,cambodia
can,canada
spc,carlist spain
car,carnatic
cli,carolina
csc,cascadia
cas,castile
cat,catalonia
cay,cayor
uca,central america
hre,central europe
bce,ceylon
cmb,chaamba
chp,champassak
chc,chechnya
che,cherokee
chw,chewa
cmi,chiang mai
chl,chile
chi,china
cht,chitral
chk,chokwe
ckc,chukotka
chv,chuvashia
cir,circassia
coc,cochin
clm,colombia
col,columbia
com,comanche
csa,confederate states of america
eqt,confederation of the equator
rhn,confederation of the rhine
con,constantine
coo,cooch behar
cnw,cornwall
cor,corsica
cos,costa rica
ctf,council of three fires
cre,crete
cri,crimea
cro,croatia
cub,cuba
cyp,cyprus
cyr,cyrenaica
czh,czechoslovakia
gng,da cheng
dag,dagestan
dah,dahomey
dai,dai nam
dkt,dakota
kuk,danubian state
dzg,danzig
dft,dar fertit
dak,dar al kuti
dfr,darfur
dgr,degar
dlm,delim
den,denmark
des,deseret
dha,dharampur
jai,dhundhar
dnk,dinka
dio,diola
dir,dir
don,don cossack host
dra,dravida nadu
dla,duala
bic,east india
dei,east indies
ecu,ecuador
ede,eden
egy,egypt
els,el salvador
eot,emirate of transjordan
eng,england
equ,equatoria
mrd,erzya-moksha
est,estonia
eth,ethiopia
ewe,ewe
ezo,ezo
fng,fang
fer,far east
fnd,federation of the andes
fzn,fezzan
fji,fiji
fin,finland
fla,flanders
flr,florida
frs,formosa
fra,france
frm,frankfurt
afs,free state
fsa,free states of america
ftj,futa jallon
ftr,futa toro
gli,galicia
gal,galicia-lodomeria
gml,gamilaraay
gao,gao
gar,garhwal
gza,gaza
gld,geledi
geo,georgia
grg,georgia
ger,germany
hau,gobir
ggo,gogo
gjm,gojjam
gco,gran colombia
pra,grão-pará
gbr,great britain
gre,greece
grn,greenland
wbl,griqualand
gri,guarani
gni,guarani
gua,guatemala
gui,guizhou
guj,gujarat
gwa,gwalior
hdy,hadiya
hai,haiti
hla,halia
ham,hamburg
han,hanover
har,harar
hth,hathawaddy
iro,haudenosaunee
haw,hawaii
hzj,hazarajat
tpg,heavenly kingdom
hdj,hedjaz
hhe,hehe
hmb,hemba
her,herat
hro,herero
hes,hesse
hek,hesse-kassel
mug,hindustan
hob,hobyo
hoh,hohenzollern
hol,holstein
hon,honduras
hbc,hudson's bay company
hna,hunan
hun,hungary
hyd,hyderabad
ibl,ibl
ibe,iberia
icl,iceland
ida,idar
ius,idel-ural
ibo,igbo
hnd,india
bht,india
seq,indian territory
idn,indonesia
ind,indore
ids,indusstan
ion,ionian islands
iqu,iquicha
irq,iraq
ire,ireland
irc,iron confederacy
isq,isaaq
isr,israel
ita,italy
jab,jabal shammar
jas,jaisalmer
jam,jamaica
jmb,jambi
jan,jan mayen
jap,japan
jav,java
jey,jeypore
jhn,jhansi
joh,johore
jlf,jolof
jun,junagadh
kbu,kaabu
krt,kaarta
kbd,kabadougou
kab,kabul
khn,kachin
kfa,kaffa
kaf,kafiristan
kal,kalat
klt,kalimantan
klm,kalmykia
kmc,kamchatka
knk,kanak
kan,kandahar
knt,kanty-mansi
krg,karagwe
krl,karelia
krn,karen
