Tag,Adjective
GBR,Anglo
ENG,Anglo
FRA,Franco
RUS,Russo
AUS,Austro
HUN,Hungarian
TUR,Ottoman
PRU,Prussian
GER,German
ITA,Italian
SAR,Sardinian
SIC,Sicilian
PAP,Papal
TUS,Tuscan
MOD,Modenese
SPA,Spanish
POR,Portuguese
NET,Dutch
BEL,Belgian
SWE,Swedish
DEN,Danish
NOR,Norwegian
GRE,Greek
SER,Serbian
BAV,Bavarian
HAN,Hanoverian
SAX,Saxon
USA,American
CSA,Confederate
BRZ,Brazilian
MEX,Mexican
ARG,Argentine
CLM,Colombian
VNZ,Venezuelan
CHL,Chilean
NPU,Peruvian
SPU,Peruvian
CHI,Sino
JAP,Japanese
SIA,Siamese
PER,Persian
EGY,Egyptian
MOR,Moroccan
ZUL,Zulu
BIC,East India
IND,Indoran
SIK,Sikh
HND,Indo
BHT,Indo
UNL,Batavo
KOR,Koreo
MGL,Mongol
ETH,Ethio
ARA,Arabo
ARB,Arabo
POL,Polono
spc,Hispano
hnd,Indo
bht,Indo
seq,Indo
ara,Arabo
arb,Arabo
kor,Koreo
mgl,Mongol
eth,Ethio
cro,Croato
bul,Bulgaro
rom,Romano
pol,Polono
plc,Polono
boh,Bohemo
czh,Bohemo
cam,Khmero
klo,Khmero
bur,Burmo
unl,Batavo
ire,Irish
